owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  VISTAMAR FINQUES,Les Salines-Clot del Bassó-Mota de Sant Pere (Cubelles),A consultar,, 2 baños,: 124 m² ,: 103 m² , 4 habs.,"
            OCUPACIÓN MÁXIMA 8 PAX", 1ª,Exterior,: En buen estado,: 500964-001275,Amueblado,"
                Actualizado el 14/11/2023
            "
Inmuebles de  BARCINO JURIDIC,El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital),2.100 €, 19  €/m², 2 baños,: 109 m² ,, 4 habs.,"
            Piso de gran calidad en Gracia, en las confluencias de Pi i Margall con Pau Alsina cerca del Mercado de la Estrella, de Paseo San Juan, Hospital Clínica Nostra Senyora del Remei, colegios….", Bajo,,: En buen estado,: IF6819-23 PAU - PI,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  GD&A BROKERS INMOBILIARIOS,Diagonal Mar-El Front Marítim del Poblenou (Distrito Sant Martí. Barcelona Capital),1.900 €, 27  €/m², 1 baño,: 69 m² ,: 65 m² , 2 habs.,"
            Impecable vivienda planta baja con piscina comunitaria en diagonal mar ", Bajo,Exterior,: Reformado,: 4991923-50121,Amueblado,"
                Actualizado el 10/11/2023
            "
Inmuebles de  FINCAS CERVANTES,Ca n'Alzamora (Rubí),1.310 €, 11  €/m², 2 baños,: 110 m² ,: 95 m² , 3 habs.,"
            Excelente piso ubicado en la zona de Can ALzamora con una superficie útil 95 m², compuesta de 3 habitacienes y una de ellas es  suites con plato de ducha, dispone de baño, aire acondicionado (frío y calor), antigüedad entre 10 y 20 años, armarios empotrados, ascensor, balcón, calefacción (central), carpintería exterior (aluminio), cocina (8 m²), comedor (22 m²),  buen estado, parking con toma de corriente para coche electrico, jardín y piiscina ", 2ª,Exterior,: En buen estado,: 1219-31238,NA,"
                Actualizado el 02/11/2023
            "
Inmuebles de  Finques Gran Via 690,El Fort Pienc (Distrito Eixample. Barcelona Capital),3.000 €, 15  €/m², 2 baños,: 188 m² ,: 168 m² , 4 habs.,"
            Piso con mucha luz natural en alquiler, sin muebles de 188 m2, techos altos, con amplio recibidor,  cuatro habitaciones, (dos individuales y dos dobles), con balcón y terraza orientados a Gran Via, cocina office equipada, dos baños, uno con bañera y otro con plato de ducha y gran salón comedor, con galería a patio de manzana y orientada a sur. Calefacción individual a gas, suelos de parquet, armarios empotrados, persianas automáticas, en la segunda planta de una finca regia del año 1900, con ascensor y servicio de conserjería.", 1ª,Exterior,: En buen estado,: 4993006-GV69211,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  DON PISO ESPLUGUES DE LLOBREGAT,Fontsanta-Fatjó (Cornellà de Llobregat),1.225 €, 21  €/m², 1 baño,: 57 m² ,: 51 m² , 2 habs.,"
            Exclusivo ático con terraza en la cubierta con mucho encanto, finca joven, vistas muy agradables, sol todo el día, salón casi independiente, cocina como nueva, dos habitaciones con ventanas oscilobatientes, baño completo, cuarto de maquinas, armario empotrado en vestíbulo, todo perfecto, aire frio y caliente por conductos, parket, calefacción por radiadores, zona céntrica y tranquila por encima del Eroski y cerca del hotel Sercotel Cornellá, a un paso de todos los transportes metro, tranvía, tren, autobuses, cerca de todo comercios, colegios, servicios, parques, un producto muy completo que no le decepcionara, acogedor y agradable, zona comunitaria con piscina, además parking incluido, realmente un piso muy especial, venga a verlo sin compromiso y luego decida ....
        ", Bajo,,: En buen estado,: 4519066-278640,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  HOME PENTHOUSE,Mas d'en Serra-Els Cards (Sant Pere de Ribes),2.500 €, 17  €/m², 2 baños,: 147 m² ,: 92 m² , 3 habs.,"
            Este fabuloso dúplex disfruta de unas maravillosas vistas al mar y tiene 140m2 repartidos de la siguiente forma:", Bajo,,,: SA2295-5800961/7510,Amueblado,"
                Actualizado el 11/11/2023
            "
Inmuebles de  FUSIONA PENEDÈS,Centre Vila (Vilafranca del Penedès),800 €, 16  €/m², 1 baño,: 50 m² ,, 1 hab,"
            Vilafranca del Penedès. Centre. Rambla Sant Francesc. 8 Pisos de lloguer de 50m² a 60m², de 1 o 2 dormitoris, ascensor, terres de gres, cuina americana, bany, safareig, fusteria exterior de PVC, calefacció i arie condicionat elèctric per conductes amb bomba de calor. No saccepten animals de companyia, aval bancàri de limport de 6 mensualitats..
        ", Bajo,Exterior,,: NF270-02830,NA,"
                Actualizado el 08/10/2023
            "
"Inmuebles de  MAURI ASSESSORS, S.L.",Montserrat (Distrito Montserrat-Torre-sana. Terrassa),850 €, 14  €/m², 2 baños,: 60 m² ,: 60 m² , 2 habs.,"
            Piso de Dos habitaciones, Comedor estar exterior, Cocina completa, Dos Baño completos, Suelos de Parket, Terraza de 15m a pie de comedor, Carpintería interior de Haya, Carpintería exterior de aluminio, Puerta Blindada. Calefacción de gas ciudad, Servicios dados de alta de agua, luz y gas, ascensor Entrega inmediata.
        ", Bajo,,: En buen estado,: 4523835-000091,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  RENTUOS,El Clot (Distrito Sant Martí. Barcelona Capital),1.100 €, 12  €/m², 2 baños,: 85 m² ,: 77 m² , 3 habs.,"
            Se trata de un magnífico piso SIN AMUEBLAR  en calle Espronceda de Barcelona, en una finca que tiene ascensor.  Se distribuye en 85m² de los cuales 77m² son útiles. Se compone de tres habitaciones, 2 baños, salón comedor, cocina y un gran balcón. ", 2ª,,: En buen estado,: SA246-380820211710,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),3.200 €, 33  €/m², 2 baños,: 95 m² ,, 3 habs.,"
            PISO TEMPORAL. Ubicado entre los edificios más brillantes y visitados de Barcelona, se encuentra nuestro apartamento con esencia modernista. A menos de 10 minutos andando de una de las joyas del modernismo por excelencia, la Sagrada Familia, y a menos de 4 minutos a pie de la parada de metro de Sant Pau | Dos de Maig, es tu mejor punto de partida para descubrir la ciudad.", Bajo,,: En buen estado,: IF76306-I-00KN9M-W-02SP0I,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Home 4 Bcn,El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital),2.000 €, 23  €/m², 2 baños,: 85 m² ,: 78 m² , 3 habs.,"
            - CONTRATOS TEMPORALES -", 3ª,Exterior,: En buen estado,: SA2842-K3847 - PARAL.LEL 3HAB DOBLES,Amueblado,"
                Actualizado el 11/11/2023
            "
