address,price,price_m2,bathrooms,size_construction,size,rooms,description,planta,exterior,preservation,floor_type,last_updated
Nord-El Sucre-Universitat (Vic),1.000 €, 9  €/m²,: 1,: 108 m² ,: 90 m² ,: 3,"
            Piso amueblado para alquilar (para estudiantes). Cerca de la universidad. Superficie construida de 108 m² y la útil de 90.48 m², distribuido con 3 habitaciones ( 2 dobles y 1 individual), 1 baño, cocina-office (equipada con electrodomésticos), lavadero (con lavadora), comedor-sala de estar con salida a la terraza, suelos de parquet de roble), ascensor, armarios empotrados, calefacción de gas natural, muebles, video-portero automático, año construcción (2000), agua (alta), luz (alta), gas (de alta), carpintería exterior de madera y cristales dobles, carpintería interior de roble, exterior, orientación (este), soleado (mañanas en la zona de las habitaciones y por la tarde en el comedor y cocina).
        ",: 2ª,,: Entre 20 y 30 años,,"
                Actualizado el 05/11/2023
            "
La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),3.200 €, 33  €/m²,: Bajo,: 95 m² ,: 3,: 2,"
            PISO TEMPORAL. Ubicado entre los edificios más brillantes y visitados de Barcelona, se encuentra nuestro apartamento con esencia modernista. A menos de 10 minutos andando de una de las joyas del modernismo por excelencia, la Sagrada Familia, y a menos de 4 minutos a pie de la parada de metro de Sant Pau | Dos de Maig, es tu mejor punto de partida para descubrir la ciudad.",: En buen estado,: IF76306-I-00KN9M-W-02SP0I,,,"
                Actualizado el 03/11/2023
            "
El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),2.600 €, 26  €/m²,: 2,: 100 m² ,: 100 m² ,: 3,"
            Sensacional piso de 100m2 con 3 habitaciones dobles y TERRAZA de 30 m2 en el barrio de Sagrada Família! Está totalmente reformado, y viene 100% amueblado y equipado. Tiene 3 habitaciones dobles con armarios empotrados y 2 baños de diseño con ducha y mampara de cristal. El salón comedor tiene salida a la bonita TERRAZA. La cocina es abierta y está totalmente equipada con nevera, horno, microondas y vitrocerámica. También cuenta con galería y lavadora. El piso está reformado y en perfecto estado, con equipamiento de primera calidad. El suelo es de parquet combinado con suelo imitación hidráulico en baños y cocina. Y unas decorativas paredes de ladrillo visto en salón y terraza. Cuenta con climatización frío/calor por zonas. Está en el bajos de una finca con ascensor, ubicada en una zona residencial tranquila muy cerca de la Sagrada Família y Glòries. Tiene todo tipo de comercios y servicios alrededor, y está muy bien comunicado por metro (Sagrada Família L5, Encants L2), autobús, bicing… El precio del alquiler INCLUYE: internet wifi, TV internacional y servicio de limpieza mensual. Los suministros son 150€/mes adicionales. El contrato es de mínimo 6 meses y máximo 11 meses renovables y se pide una fianza de 2 meses.
        ",: Bajo,,: En buen estado,,"
                Actualizado el 05/11/2023
            "
Les Corts (Distrito Les Corts. Barcelona Capital),2.000 €, 20  €/m²,: 6ª,: 97 m² ,: 4,: 2,"
            EQUADOR - TAQUIGRAF SERRA. - Vivienda compuesta por cuatro dormitorios, dos baños completos (uno de ellos en suite), cocina office con galería y amplio salón comedor con salida a balcón. ",: En buen estado,: TC331-550107,,,"
                Actualizado el 26/10/2023
            "
Ca n'Alzamora (Rubí),1.310 €, 11  €/m²,: 2,: 110 m² ,: 95 m² ,: 3,"
            Excelente piso ubicado en la zona de Can ALzamora con una superficie útil 95 m², compuesta de 3 habitacienes y una de ellas es  suites con plato de ducha, dispone de baño, aire acondicionado (frío y calor), antigüedad entre 10 y 20 años, armarios empotrados, ascensor, balcón, calefacción (central), carpintería exterior (aluminio), cocina (8 m²), comedor (22 m²),  buen estado, parking con toma de corriente para coche electrico, jardín y piiscina ",: 2ª,: 1,: Entre 10 y 20 años,,"
                Actualizado el 02/11/2023
            "
La Sagrada Família (Distrito Eixample. Barcelona Capital),2.600 €,,: 2,: 135 m² ,: 130 m² ,: 3,"
            AP0341 - Fantástico piso ya disponible en diciembre con contrato de alquiler de temporada con contrato de un máximo de 6 meses, situado en el distrito de Sant Martí y concretamente en el barrio del Camp de l''Arpa del Clot, una de las zonas más tranquilas de Barcelona donde albergan multitud de comercios, parques y diferentes medios de transporte público (metro, autobuses y otros).",,: AG165-AP0341,,,"
                Actualizado el 05/11/2023
            "
Sant Vicenç de Montalt,6.900 €,,: XA642-3129,: 311 m² ,: 4,: 4,"
            Costa de Barcelona · El Maresme · Sant Vicenç de Montalt · Supermaresme",,,,,"
                Actualizado el 20/10/2023
            "
Cabrils,6.500 €,,: 7,: 609 m² ,: 313 m² ,: 6,"
            CHA3807 - Espectacular e impecable casa, disponible y visitable ya, situada en Cabrils, es un pueblo del Maresme interior, se encuentra entre mar y montaña, concretamente está situado entre dos montañas, donde se puede contemplar el mar, una escena que desprende mucho contraste. Además a escasos 10 minutos en coche de la playa.",: AG165-CHA3807,,,,"
                Actualizado el 05/11/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.250 €, 19  €/m²,: 1,: 65 m² ,: 50 m² ,: 1,"
            Disponible ya! Precioso estudio/loft de 65 m², todo recién reformado y a estrenar. Ubicado en el centro de Barcelona, en pleno barrio Gótico. Cuenta con un dormitorio doble, balcón, un amplio y luminoso salón/comedor con techo estilo bóveda catalana, y un baño completo con ducha. Hay ropa de cama y toallas a disposición del inquilino. La cocina viene equipada con todos los electrodomésticos (frigorifico, horno, microondas, vitrocerámica y lavadora). Es una primera planta exterior SIN ascensor. Ideal para parejas!...Ubicación perfecta en pleno Gótico, muy cerca de la catedral de Barcelona y las famosas ramblas!. Muy bien comunicado con varias lineas de autobuses y a 4 minutos caminando de la parada de metro Liceo. Todos los suministros están incluidos en el precio de alquiler. El contrato de alquiler es temporal de 6 a 11 meses y se piden 2 meses de fianza. ",: 1ª,,: En buen estado,,"
                Actualizado el 05/11/2023
            "
El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.950 €, 17  €/m²,: Bajo,: 112 m² ,: 2,: 2,"
            Maravillosa vivienda completamente amueblada y equipada, lista para entrar a vivir, en el Gótico, al lado de Plaza Sant Jaume.",: En buen estado,: IF76306-I-00KFCY-W-02QOK5,,,"
                Actualizado el 03/11/2023
            "
El Fort Pienc (Distrito Eixample. Barcelona Capital),3.300 €, 17  €/m²,: 2,: 188 m² ,: 168 m² ,: 4,"
            Piso con mucha luz natural en alquiler, sin muebles de 188 m2, techos altos, con amplio recibidor,  cuatro habitaciones, (dos individuales y dos dobles), con balcón y terraza orientados a Gran Via, cocina office equipada, dos baños, uno con bañera y otro con plato de ducha y gran salón comedor, con galería a patio de manzana y orientada a sur. Calefacción individual a gas, suelos de parquet, armarios empotrados, persianas automáticas, en la segunda planta de una finca regia del año 1900, con ascensor y servicio de conserjería.",: 1ª,: A gran via y a patio de manzana,: Más de 50 años,,"
                Actualizado el 05/11/2023
            "
El Masnou,1.300 €, 12  €/m²,: 2,: 101 m² ,: 89 m² ,: 4,"
            Domussed Inmobilairis les presenta este afable Piso de 101m2 situado en El Masnou, donde lo mejor del mar y la tranquilidad se fusionan en uno solo. Ubicado en una Zona Residencial muy tranquila y muy bien comunicada.",: Bajo,: Entre 20 y 30 años,: En buen estado,,"
                Actualizado el 05/11/2023
            "
La Bordeta (Distrito Sants-Montjuïc. Barcelona Capital),1.600 €, 16  €/m²,: 2,: 96 m² ,: 96 m² ,: 4,"
            Disponible ya! Fantástico piso de 96 m2 con 4 habitaciones y un soleado BALCÓN en el barrio de La Bordeta!. Con PARKING incluido en el precio!!!!. Se entrega sin amueblar. Tiene 4 habitaciones: 2 dobles exteriores y 2 individuales que dan a patio interior. La cocina está equipada con encimera de gas, campana, horno y microondas y está hecha la instalación para lavaplatos si se quiere poner. La cocina es abierta al luminoso salón-comedor y comunica con el patio donde está la zona de lavadero-tendedero también con instalación preparada para la lavadora. Desde el amplio salón-comedor se accede cómodamente al balcón. Cuenta con 2 bonitos baños completos con ducha y mampara de cristal. El piso está en perfecto estado con equipamiento moderno de primeras calidades. Dispone de suelos de parquet, calefacción a gas y aire acondicionado, ventanas de aluminio con doble cristal y puerta blindada. Está en una entreplanta en finca con dos ascensores, ubicada en una zona con todo tipo de comercios y servicios alrededor y muy bien comunicado por metro (Santa Eulalia a 4 minutos andando L1) y diversas líneas de autobuses cercanas. El contrato es de larga estancia mínimo 3 años y se piden 2 meses de fianza.
        ",: Entresuelo,,: Entre 20 y 30 años,,"
                Actualizado el 05/11/2023
            "
La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),2.500 €, 41  €/m²,: 1,: 60 m² ,: 60 m² ,: 1,"
            Https://smartmovebcn.com/properties/beach-casita/",: 3ª,,: En buen estado,,"
                Actualizado el 05/11/2023
            "
Palau-solità i Plegamans,900 €, 10  €/m²,: 1,: 85 m² ,: 85 m² ,: 3,"
            Altura piso 1º, piso superficie total 85 m², superficie útil 85 m², hab. individuales: 2, habitaciones dobles: 1, 1 baño, balcón, calefacción (gas natural), carpintería exterior (aluminio), carpintería interior (cirere), estado conservación: buen estado, gas, terraza, suelos: gres, exterior, nivel energético de emisiones:  E, 54, nivel energético de consumo:  E, 240.
        ",: 1ª,,: En buen estado,,"
                Actualizado el 05/11/2023
            "
Zona Nord-La Serreta (Rubí),1.200 €, 10  €/m²,: 2,: 110 m² ,: 93 m² ,: 3,"
            Te presentamos este fabuloso dúplex de 93 m2. Se trata de una vivienda con una distribución muy práctica.",: 2ª,: Entre 10 y 20 años,: En buen estado,,"
                Actualizado el 23/10/2023
            "
